id,businessId,name,stage,startDate,closeDate,notes,userId,createdAt,updatedAt,lastActivityDate,nextActivityDate,responsibleId,hasRequest,bookingRequestId,dealId,lostReason,name
,cmk5zfbis01m8hpilg1sxemrb,Casa Casco - Q1 2026|Jan-2026-I,Reunión,1/9/2026,,,user_38w3kMPJn8vNMvILexCx95wSjTP,1/9/2026,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gyqxf0025rbhpa2q9j4wh,Casa Catedral Q2 2025|Mar-2025-I,Iniciación,3/27/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,3/27/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gyr3a0027rbhpyck5k7u5,Casa Grimaldo Q1 2025|Feb-2025-I,Iniciación,2/11/2025,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,2/11/2025,,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,FALSE,,,,
,cmk5zhvvb02nuhpilyglzydhd,Casa Pulpo 2025|Jan-2025-I,Iniciación,1/23/2025,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,1/23/2025,,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,FALSE,,,,
,cml8gyrdd002arbhp6atgvbfk,Casa Raffaello|Jan-2025-I,Iniciación,1/16/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,1/16/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8g7xuz00fqnvhpkysvl6zt,Casco Bar 2025|Feb-2025-I,Iniciación,2/4/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,2/4/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8g7xuz00fqnvhpkysvl6zt,Casco Bar Hopping|Jan-2025-I,Iniciación,1/8/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,1/8/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gyri7002crbhp2rwrwg3o,Casco View Life |Nov-2025-I,Iniciación,11/25/2025,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,11/25/2025,,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,FALSE,,,,
,cml8g8u4000pvnvhpvachkxbi,Castilla de Oro 2025|Apr-2025-I,Iniciación,4/4/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,4/4/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8g93sq00thnvhp1qdias1v,Cejas Perfectas Panamá - Q3 2025|Jul-2025-I,Iniciación,7/15/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,7/15/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gyrp7002frbhpher4cduw,Celia's 2025|Jun-2025-I,Iniciación,6/6/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,6/6/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gk5ro01otnvhp6sdy36al,Centro de Rejuvenecimiento Maite - Q1 2026|Jan-2026-I,Reunión,1/20/2026,,,user_38w3kMPJn8vNMvILexCx95wSjTP,1/20/2026,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gysdj002nrbhp9a0cp1i5,CHEZ DIDI - Q4 2025|Nov-2025-I,Reunión,11/24/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,11/24/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gzr7000c7rbhpodjhlxzg,Chiiro|Jan-2025-I,Iniciación,1/15/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,1/15/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gyshm002orbhpns9m5i8a,Chillin Sport&Wings - Q4|Oct-2025-I,Iniciación,10/2/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,10/2/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gysjz002prbhp22qik7mo,Chimney PTY - Q1 2026|Dec-2025-I,Iniciación,12/3/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,12/3/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gysma002qrbhphltmczi2,Chocolatisimo |Dec-2025-I,Iniciación,12/17/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,12/17/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gysqw002srbhpfy84uh87,Churreria Porfirio - Q3 2025|Sep-2025-I,Reunión,9/12/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,9/12/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5zdsq300zqhpilkqniaeec,Ciao 2025|Oct-2025-I,Iniciación,10/14/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,10/14/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gysvm002urbhpf842z9ix,Ciao Bella 2025|Feb-2025-I,Iniciación,2/3/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,2/3/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gyt0f002wrbhpi8qmfdi0,Ciel y Miel |Dec-2025-I,Iniciación,12/3/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,12/3/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5zi4ne02rehpilas9pqosl,Circus Market & Fest - 2026|Feb-2025-I,Iniciación,2/13/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,2/13/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gytex0030rbhpwy6095fb,Clarins |Dec-2025-I,Iniciación,12/17/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,12/17/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5zihqn02wshpileejgo1ei,Climb Parque de Cuerdas - Q1 2025|Dec-2025-I,Iniciación,12/11/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,12/11/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5zirql030uhpilxwjlpae0,Clinic Salud |Feb-2025-I,Iniciación,2/20/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,2/20/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gyufn0039rbhpcvy56y5l,Coco Bar Pty - Q1 2026|Feb-2026-I,Iniciación,2/2/2026,,,user_38w3kMPJn8vNMvILexCx95wSjTP,2/2/2026,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5zio1k02zchpil65s7nonn,Commercial Intermediaries Corp |Dec-2025-I,Iniciación,12/4/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,12/4/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gyun3003crbhp1efsptmw,Como en México - Q3 2025|Sep-2025-I,Iniciación,9/12/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,9/12/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5zco2k00j2hpilsscy7yes,Constantino Urban Food - Q1 2026|Feb-2026-I,Iniciación,2/6/2026,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,2/6/2026,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
